round,match_no,league,home_team,away_team,actual_group,subtype_candidate,shape_cluster_label,context_purchase_type_confidence,context_purchase_type_reason,lab_mix_home,lab_mix_draw,lab_mix_away,lab_home_path_score,lab_away_path_score,path_gap_home_minus_away,mix_gap_draw_minus_away,mix_gap_home_minus_away,lab_flip_dislocation_score,lab_scenario_entropy_score,lab_volatility_score,lab_draw_tension_score,lab_stall_compactness_score,p_home,p_draw,p_away,margin_best_second,diff_ha,entropy
round07,10,J1,東京Ｖ,FC東京,D,away_overread_draw_cover,overlap,medium,best=A top_prob=0.404 side_gap=0.165 path_gap=0.305 entropy=0.610,0.2152477493313085,0.517221732559942,0.2675305181087495,0.347334766416494,0.6526652335835059,-0.3053304671670119,0.24969121445119247,-0.05228276877744101,0.5368200051216829,0.6104980255390977,0.2241713952322418,0.608502269926819,0.548363154079192,0.2320443230745922,0.3750520201107935,0.3929036568146142,0.0178516367038206,0.1608593337400219,1.0738335522518454
round08,2,J1,清水,広島,H,away_overread_home_hedge,hold_core,medium,best=A top_prob=0.457 side_gap=0.237 path_gap=0.385 entropy=0.544,0.2065560450371815,0.526506076251868,0.2669378787109504,0.3074436788955084,0.6925563211044915,-0.3851126422089831,0.25956819754091753,-0.060381833673768925,0.4531197187554096,0.5437229031546171,0.1595487270665842,0.6833580181614393,0.5712541615411366,0.214377346709059,0.3405275967978979,0.445095056493043,0.104567459695145,0.2307177097839839,1.0572712664437227
round08,3,J1,京都,名古屋,D,away_overread_draw_cover,overlap,medium,best=A top_prob=0.418 side_gap=0.174 path_gap=0.125 entropy=0.578,0.2308298240857311,0.5180419922113789,0.25112818370289,0.4372682545918637,0.5627317454081364,-0.12546349081627273,0.26691380850848895,-0.020298359617158868,0.3682285710134289,0.5775620220591507,0.3462951959122593,0.5487701787180486,0.4533591277404937,0.2379622620990897,0.3547806352197928,0.4072571026811175,0.0524764674613247,0.1692948405820278,1.07511569079479
round08,6,J1,福岡,Ｇ大阪,D,away_overread_draw_cover,hold_core,high,best=A top_prob=0.427 side_gap=0.194 path_gap=0.331 entropy=0.620,0.2142628954223021,0.5142224473613464,0.2715146572163515,0.3342660420750146,0.6657339579249855,-0.3314679158499709,0.24270779014499488,-0.057251761794049394,0.5704476066519587,0.6198164069577117,0.2893348927674324,0.534163673655082,0.4628944827493981,0.2264512895831881,0.357802531739778,0.4157461786770337,0.0579436469372556,0.1892948890938456,1.068963613693998
round08,10,J1,東京Ｖ,FC東京,D,away_overread_draw_cover,overlap,medium,best=A top_prob=0.404 side_gap=0.165 path_gap=0.305 entropy=0.610,0.2152477493313085,0.517221732559942,0.2675305181087495,0.347334766416494,0.6526652335835059,-0.3053304671670119,0.24969121445119247,-0.05228276877744101,0.5368200051216829,0.6104980255390977,0.2241713952322418,0.608502269926819,0.548363154079192,0.2320443230745922,0.3750520201107935,0.3929036568146142,0.0178516367038206,0.1608593337400219,1.0738335522518454
round09,4,J1,岡山,神戸,A,away_valid,hold_core,medium,best=A top_prob=0.439 side_gap=0.215 path_gap=0.143 entropy=0.467,0.2132378756060461,0.5542020992842708,0.2325600251096831,0.4286357214161291,0.5713642785838708,-0.14272855716774174,0.3216420741745877,-0.019322149503637004,0.2892690152238754,0.4674375745383069,0.2346848040750158,0.7208972181869032,0.6127145441122289,0.2179830780144861,0.3543736384606894,0.4276432835248244,0.0732696450641349,0.2096602055103382,1.0629586842236511
round09,6,J1,水戸,鹿島,D,away_overread_draw_cover,hold_core,high,best=A top_prob=0.554 side_gap=0.353 path_gap=0.430 entropy=0.549,0.2451585948278321,0.4329894304532734,0.3218519747188945,0.2848471749415007,0.7151528250584993,-0.4303056501169986,0.11113745573437894,-0.0766933798910624,0.2318758143425828,0.5490749628771321,0.235308739320644,0.4675248712920313,0.4461754676763229,0.1973008645024895,0.2592153068590674,0.543483828638443,0.2842685217793755,0.3461829641359535,1.0015821076461833
round09,8,J1,広島,福岡,A,away_valid,draw_core,low,best=A top_prob=0.345 side_gap=0.018 path_gap=0.561 entropy=0.494,0.3207954143849814,0.4515651001445486,0.2276394854704699,0.7802551327740199,0.21974486722598,0.56051026554804,0.2239256146740787,0.0931559289145115,0.2125817885659259,0.4941941677912886,0.1321724577597593,0.5905404021905902,0.5254955494861134,0.3154198219921393,0.3522170532480162,0.3323631247598443,0.0169433027677049,0.0169433027677049,1.0975956042660877
round10,5,J1,横浜FM,FC東京,A,away_valid,hold_core,medium,best=A top_prob=0.450 side_gap=0.219 path_gap=0.460 entropy=0.504,0.2378487516155683,0.4461043882727441,0.3160468601116876,0.2700830353298757,0.7299169646701242,-0.4598339293402485,0.13005752816105653,-0.0781981084961193,0.1967613515593456,0.5037791778022678,0.136735656514757,0.552320198253884,0.5006925546084037,0.2248817932457936,0.3366415003498613,0.438476706404345,0.1018352060544837,0.2135949131585514,1.0635796617167197
round10,6,J1,京都,岡山,H,away_overread_home_hedge,hold_core,low,best=A top_prob=0.380 side_gap=0.121 path_gap=0.093 entropy=0.473,0.2271070984462357,0.5325049244446801,0.2403879771090841,0.4535229664953173,0.5464770335046827,-0.09295406700936537,0.292116947335596,-0.013280878662848411,0.2504592409048863,0.4731598496977355,0.2313083098559289,0.6560876086657726,0.5289318646788571,0.2491130739668976,0.3862007285943036,0.3646861974387987,0.0215145311555049,0.115573123471901,1.0815255520577525
round10,9,J1,川崎Ｆ,鹿島,A,away_valid,hold_core,high,best=A top_prob=0.480 side_gap=0.258 path_gap=0.369 entropy=0.509,0.2371980998809762,0.4649441107298215,0.2978577893892023,0.3155565415488289,0.6844434584511709,-0.36888691690234204,0.16708632134061918,-0.06065968950822612,0.239504209872342,0.5086538169530261,0.2358384118331208,0.4688964272632818,0.475863429747327,0.2177949515562019,0.3128532652895648,0.4693517831542332,0.1564985178646684,0.2515568315980313,1.0505243668443196
round11,6,J1,鹿島,浦和,H,away_overread_home_hedge,hold_core,low,best=A top_prob=0.359 side_gap=0.058 path_gap=0.196 entropy=0.469,0.2487624082629249,0.5306068245497365,0.2206307671873386,0.5978217612275123,0.4021782387724877,0.1956435224550246,0.3099760573623979,0.0281316410755863,0.247663803410862,0.4693490054201525,0.190083153276275,0.7652952352952667,0.635031004636932,0.288824832632994,0.3663849313554632,0.3447902360115428,0.0215946953439203,0.0559654033785488,1.0937172525650416
round13,3,J1,福岡,広島,D,away_overread_draw_cover,hold_core,medium,best=A top_prob=0.481 side_gap=0.262 path_gap=0.544 entropy=0.483,0.2275821169286954,0.455609233495524,0.3168086495757804,0.227796359289472,0.772203640710528,-0.5444072814210561,0.1388005839197436,-0.08922653264708502,0.1987019109204233,0.4833149603029865,0.1028404471777487,0.6089087057620187,0.5324660852003991,0.2140247949165263,0.3159998271364518,0.4699753779470217,0.1539755508105698,0.2559505830304953,1.0488569426227183
round13,6,J1,東京Ｖ,鹿島,H,away_overread_home_hedge,hold_core,high,best=A top_prob=0.536 side_gap=0.340 path_gap=0.290 entropy=0.485,0.2196706957272549,0.5177941730821795,0.2625351311905655,0.3549867542429648,0.6450132457570352,-0.29002649151407045,0.25525904189161397,-0.04286443546331059,0.2789778221535923,0.4853016086552588,0.2362506909610084,0.6438260639320399,0.618901238622708,0.1921122051711629,0.2826975471443032,0.5251902476845338,0.2424927005402306,0.3330780425133708,1.0122963450845637
round14,1,J1,岡山,広島,H,away_overread_home_hedge,hold_core,low,best=A top_prob=0.398 side_gap=0.161 path_gap=0.254 entropy=0.424,0.204140094559468,0.5597067739315498,0.2361531315089821,0.3730344753116883,0.6269655246883117,-0.25393104937662336,0.3235536424225677,-0.0320130369495141,0.261450683592875,0.4241519626400004,0.1507877127281889,0.7690365525781331,0.6518951398001116,0.2297711934329563,0.3838291831358326,0.386399623431211,0.0025704402953784,0.1566284299982547,1.0728773606777118
round14,4,J1,Ｇ大阪,神戸,H,away_overread_home_hedge,hold_core,low,best=A top_prob=0.399 side_gap=0.166 path_gap=0.058 entropy=0.436,0.2143923732435884,0.5636384171376124,0.2219692096187991,0.4709201982395331,0.5290798017604669,-0.058159603520933745,0.34166920751881336,-0.007576836375210699,0.2394964602789277,0.4359353217720187,0.1849467724613227,0.8443923451837536,0.6369818189954187,0.2269534330796853,0.384955961285869,0.3880906056344457,0.0031346443485767,0.1611371725547604,1.071397547391233
round15,3,J1,FC東京,千葉,A,away_valid,draw_core,low,best=A top_prob=0.372 side_gap=0.028 path_gap=0.642 entropy=0.554,0.3673193235324706,0.38737922733978,0.2453014491277493,0.8211496015182147,0.1788503984817852,0.6422992030364295,0.1420777782120307,0.12201787440472131,0.1734118916971134,0.5542429151039499,0.144692199139289,0.4899541635777381,0.4180516907069977,0.3335196591210881,0.3063229149277737,0.3601574259511381,0.0266377668300499,0.0266377668300499,1.096435616480838
round15,5,J1,鹿島,水戸,H,away_overread_home_hedge,neutral,low,best=A top_prob=0.381 side_gap=0.049 path_gap=0.477 entropy=0.556,0.3334317165294948,0.4198762933525649,0.2466919901179402,0.738505967915642,0.2614940320843579,0.47701193583128415,0.17318430323462466,0.08673972641155461,0.2249763434431119,0.5563774448112055,0.2313775223894272,0.4142480855777457,0.4259576105334658,0.3242554249009812,0.3032741167930728,0.3724704583059461,0.0482150334049649,0.0482150334049649,1.0948769353033612
round16,2,J1,横浜FM,鹿島,D,away_overread_draw_cover,hold_core,high,best=A top_prob=0.580 side_gap=0.392 path_gap=0.445 entropy=0.537,0.2400692473118918,0.4422746790877309,0.3176560736003773,0.2775060707753941,0.7224939292246059,-0.4449878584492118,0.1246186054873536,-0.07758682628848548,0.2308418292688499,0.536647096637513,0.2083546347832062,0.503274940221729,0.4821009650834149,0.185011138164777,0.2452448886577917,0.5697439731774313,0.3244990845196396,0.3847328350126542,0.977387596087218
round16,9,J1,千葉,町田,A,away_valid,hold_core,high,best=A top_prob=0.454 side_gap=0.225 path_gap=0.309 entropy=0.534,0.2368984805042887,0.4745526695305309,0.2885488499651803,0.3453385676967097,0.6546614323032903,-0.30932286460658065,0.18600381956535056,-0.05165036946089163,0.2834730213593422,0.5337209765468021,0.3744374960234748,0.5655691556296271,0.4706708191995253,0.223131239379885,0.3339314367102584,0.4429373239098566,0.1090058871995981,0.2198060845299715,1.0616541422814354
