set,bin,bin_left,bin_right,count,avg_pred_draw,actual_draw_rate,gap
baseline,"[0.00,0.05)",0.0,0.05,0,,,
baseline,"[0.05,0.10)",0.05,0.1,0,,,
baseline,"[0.10,0.15)",0.1,0.15000000000000002,0,,,
baseline,"[0.15,0.20)",0.15000000000000002,0.2,0,,,
baseline,"[0.20,0.25)",0.2,0.25,2,0.22542029171994193,1.0,0.7745797082800581
baseline,"[0.25,0.30)",0.25,0.30000000000000004,0,,,
baseline,"[0.30,0.35)",0.30000000000000004,0.35000000000000003,0,,,
baseline,"[0.35,0.40)",0.35000000000000003,0.4,0,,,
baseline,"[0.40,0.45)",0.4,0.45,0,,,
baseline,"[0.45,0.50]",0.45,0.5,0,,,
current,"[0.00,0.05)",0.0,0.05,0,,,
current,"[0.05,0.10)",0.05,0.1,0,,,
current,"[0.10,0.15)",0.1,0.15000000000000002,0,,,
current,"[0.15,0.20)",0.15000000000000002,0.2,0,,,
current,"[0.20,0.25)",0.2,0.25,0,,,
current,"[0.25,0.30)",0.25,0.30000000000000004,2,0.2664101989750372,1.0,0.7335898010249629
current,"[0.30,0.35)",0.30000000000000004,0.35000000000000003,0,,,
current,"[0.35,0.40)",0.35000000000000003,0.4,0,,,
current,"[0.40,0.45)",0.4,0.45,0,,,
current,"[0.45,0.50]",0.45,0.5,0,,,
