match_no,league,home_team,away_team,best_second,actual_symbol,actual_result,ticket01,ticket01_is_hit,ticket02,ticket02_is_hit,ticket03,ticket03_is_hit,ticket04,ticket04_is_hit,ticket05,ticket05_is_hit,ticket06,ticket06_is_hit,ticket07,ticket07_is_hit,ticket08,ticket08_is_hit,ticket09,ticket09_is_hit,ticket10,ticket10_is_hit
1,J1,岡山,長崎,best=2 second=0 third=1 (base=2) margin=0.037,2,A,2,True,2,True,2,True,2,True,2,True,0,False,2,True,2,True,2,True,2,True
2,J1,清水,広島,best=2 second=0 third=1 (base=2) margin=0.046,1,H,2,False,2,False,2,False,2,False,2,False,2,False,0,False,2,False,2,False,2,False
3,J1,京都,名古屋,best=1 second=0 third=2 (base=1) margin=0.100,0,D,1,False,1,False,1,False,1,False,1,False,1,False,1,False,0,True,1,False,1,False
4,J1,川崎Ｆ,横浜FM,best=1 second=0 third=2 (base=1) margin=0.013,2,A,1,False,1,False,0,False,1,False,1,False,1,False,0,False,1,False,0,False,1,False
5,J1,柏,水戸,best=1 second=0 third=2 (base=1) margin=0.107,1,H,1,True,1,True,1,True,1,True,1,True,1,True,1,True,0,False,1,True,1,True
6,J1,福岡,Ｇ大阪,best=2 second=0 third=1 (base=2) margin=0.039,0,D,2,False,2,False,2,False,2,False,0,True,2,False,2,False,2,False,2,False,2,False
7,J1,鹿島,千葉,best=1 second=0 third=2 (base=1) margin=0.099,1,H,1,True,1,True,1,True,1,True,1,True,1,True,1,True,0,False,1,True,2,False
8,J1,Ｃ大阪,神戸,best=2 second=0 third=1 (base=2) margin=0.028,0,D,2,False,2,False,2,False,2,False,2,False,0,True,2,False,2,False,2,False,2,False
9,J1,浦和,町田,best=1 second=0 third=2 (base=1) margin=0.026,2,A,1,False,1,False,1,False,0,False,1,False,1,False,1,False,1,False,0,False,1,False
10,J1,東京Ｖ,FC東京,best=2 second=0 third=1 (base=2) margin=0.024,0,D,2,False,2,False,2,False,2,False,2,False,0,True,2,False,2,False,0,True,2,False
11,J2,札幌,甲府,best=1 second=0 third=2 (base=1) margin=0.020,1,H,1,True,1,True,1,True,1,True,1,True,1,True,0,False,1,True,0,False,1,True
12,J2,今治,徳島,best=2 second=0 third=1 (base=2) margin=0.035,1,H,2,False,2,False,2,False,2,False,0,False,2,False,2,False,2,False,2,False,2,False
13,J2,秋田,八戸,best=0 second=1 third=2 (base=0) margin=0.067,1,H,0,False,0,False,0,False,1,True,0,False,0,False,0,False,0,False,0,False,0,False
