diff_type,match_no,home_team,away_team,league
missing_in_predictions,1,横浜FM,千葉,
missing_in_predictions,2,名古屋,神戸,
missing_in_predictions,3,水戸,FC東京,
missing_in_predictions,4,京都,Ｃ大阪,
missing_in_predictions,5,広島,Ｇ大阪,
missing_in_predictions,6,柏,町田,
missing_in_predictions,7,清水,岡山,
missing_in_predictions,8,鹿島,川崎Ｆ,
missing_in_predictions,9,東京Ｖ,浦和,
missing_in_predictions,10,長崎,福岡,
missing_in_predictions,11,八戸,栃木Ｃ,
missing_in_predictions,12,宮崎,大分,
missing_in_predictions,13,磐田,札幌,
missing_in_toto_order,,FC東京,柏,J1
missing_in_toto_order,,いわき,藤枝,J2
missing_in_toto_order,,今治,新潟,J2
missing_in_toto_order,,仙台,八戸,J2
missing_in_toto_order,,岡山,名古屋,J1
missing_in_toto_order,,川崎Ｆ,水戸,J1
missing_in_toto_order,,広島,京都,J1
missing_in_toto_order,,栃木Ｃ,湘南,J2
missing_in_toto_order,,横浜FM,東京Ｖ,J1
missing_in_toto_order,,浦和,鹿島,J1
missing_in_toto_order,,町田,千葉,J1
missing_in_toto_order,,神戸,福岡,J1
missing_in_toto_order,,長崎,Ｃ大阪,J1
missing_in_toto_order,,Ｇ大阪,清水,J1
