順位,チーム,勝点,試合,勝,90勝,PK勝,敗,90敗,PK敗,得点,失点,得失点差,直近試合の勝敗,season,round,fetched_date
1,東京ヴェルディ,8,3,3,2,1,0,0,0,7,4,+3,,2026,最新節,20260221
2,浦和レッズ,7,3,2,2,0,1,0,1,5,1,+4,,2026,最新節,20260221
3,鹿島アントラーズ,7,3,2,2,0,1,0,1,4,1,+3,,2026,最新節,20260221
4,ＦＣ東京,7,3,3,1,2,0,0,0,4,3,+1,,2026,最新節,20260221
5,ＦＣ町田ゼルビア,6,3,2,1,1,1,0,1,7,6,+1,,2026,最新節,20260221
6,川崎フロンターレ,5,3,2,1,1,1,1,0,6,5,+1,,2026,最新節,20260221
7,水戸ホーリーホック,1,2,0,0,0,2,1,1,3,5,-2,,2026,最新節,20260221
8,ジェフユナイテッド千葉,1,2,0,0,0,2,1,1,0,2,-2,,2026,最新節,20260221
9,横浜Ｆ・マリノス,0,3,0,0,0,3,3,0,2,6,-4,,2026,最新節,20260221
10,柏レイソル,0,3,0,0,0,3,3,0,4,9,-5,,2026,最新節,20260221
