順位,チーム,勝点,試合,勝,90勝,PK勝,敗,90敗,PK敗,得点,失点,得失点差,直近試合の勝敗,season,round,fetched_date
1,ベガルタ仙台,9,3,3,3,0,0,0,0,7,2,+5,,2026,最新節,20260223
2,ブラウブリッツ秋田,9,3,3,3,0,0,0,0,5,2,+3,,2026,最新節,20260223
3,モンテディオ山形,8,3,3,2,1,0,0,0,5,3,+2,,2026,最新節,20260223
4,湘南ベルマーレ,6,3,2,2,0,1,1,0,6,2,+4,,2026,最新節,20260223
5,横浜ＦＣ,3,3,1,1,0,2,2,0,6,4,+2,,2026,最新節,20260223
6,ヴァンラーレ八戸,3,2,1,1,0,1,1,0,1,1,+0,,2026,最新節,20260223
7,ザスパ群馬,1,2,0,0,0,2,1,1,1,2,-1,,2026,最新節,20260223
8,栃木ＳＣ,0,2,0,0,0,2,2,0,2,4,-2,,2026,最新節,20260223
9,ＳＣ相模原,0,2,0,0,0,2,2,0,1,6,-5,,2026,最新節,20260223
10,栃木シティ,0,3,0,0,0,3,3,0,2,10,-8,,2026,最新節,20260223
