順位,チーム,勝点,試合,勝,90勝,PK勝,敗,90敗,PK敗,得点,失点,得失点差,直近試合の勝敗,season,round,fetched_date
1,ベガルタ仙台,6,2,2,2,0,0,0,0,5,1,+4,,2026,最新節,20260215
2,モンテディオ山形,6,2,2,2,0,0,0,0,4,2,+2,,2026,最新節,20260215
3,ブラウブリッツ秋田,6,2,2,2,0,0,0,0,3,1,+2,,2026,最新節,20260215
4,湘南ベルマーレ,3,2,1,1,0,1,1,0,5,2,+3,,2026,最新節,20260215
5,ヴァンラーレ八戸,3,1,1,1,0,0,0,0,1,0,+1,,2026,最新節,20260215
6,栃木ＳＣ,0,1,0,0,0,1,1,0,1,2,-1,,2026,最新節,20260215
7,ザスパ群馬,0,1,0,0,0,1,1,0,0,1,-1,,2026,最新節,20260215
8,横浜ＦＣ,0,2,0,0,0,2,2,0,1,3,-2,,2026,最新節,20260215
9,栃木シティ,0,2,0,0,0,2,2,0,1,5,-4,,2026,最新節,20260215
10,ＳＣ相模原,0,1,0,0,0,1,1,0,0,4,-4,,2026,最新節,20260215
