順位,チーム,勝点,試合,勝,90勝,PK勝,敗,90敗,PK敗,得点,失点,得失点差,直近試合の勝敗,season,round,fetched_date
1,東京ヴェルディ,6,2,2,2,0,0,0,0,5,2,+3,,2026,最新節,20260218
2,川崎フロンターレ,5,2,2,1,1,0,0,0,5,3,+2,,2026,最新節,20260218
3,ＦＣ町田ゼルビア,5,2,2,1,1,0,0,0,5,4,+1,,2026,最新節,20260218
4,浦和レッズ,4,2,1,1,0,1,0,1,3,1,+2,,2026,最新節,20260218
5,鹿島アントラーズ,4,2,1,1,0,1,0,1,2,1,+1,,2026,最新節,20260218
6,ＦＣ東京,4,2,2,0,2,0,0,0,2,2,+0,,2026,最新節,20260218
7,水戸ホーリーホック,1,2,0,0,0,2,1,1,3,5,-2,,2026,最新節,20260218
8,ジェフユナイテッド千葉,1,2,0,0,0,2,1,1,0,2,-2,,2026,最新節,20260218
9,横浜Ｆ・マリノス,0,2,0,0,0,2,2,0,2,4,-2,,2026,最新節,20260218
10,柏レイソル,0,2,0,0,0,2,2,0,4,7,-3,,2026,最新節,20260218
