順位,チーム,勝点,試合,勝,90勝,PK勝,敗,90敗,PK敗,得点,失点,得失点差,直近試合の勝敗,season,round,fetched_date
1,鹿島アントラーズ,32,12,10,10,0,2,0,2,20,5,+15,,2026,最新節,20260425
2,ＦＣ東京,26,12,9,6,3,3,1,2,21,10,+11,,2026,最新節,20260425
3,ＦＣ町田ゼルビア,22,11,8,5,3,3,2,1,14,15,-1,,2026,最新節,20260425
4,東京ヴェルディ,18,11,7,4,3,4,4,0,14,15,-1,,2026,最新節,20260425
5,川崎フロンターレ,17,11,6,4,2,5,4,1,16,19,-3,,2026,最新節,20260425
6,水戸ホーリーホック,15,12,5,2,3,7,4,3,14,21,-7,,2026,最新節,20260425
7,浦和レッズ,12,11,3,3,0,8,5,3,14,13,+1,,2026,最新節,20260425
8,柏レイソル,11,12,4,3,1,8,8,0,14,17,-3,,2026,最新節,20260425
9,横浜Ｆ・マリノス,9,11,3,3,0,8,8,0,14,20,-6,,2026,最新節,20260425
10,ジェフユナイテッド千葉,9,11,2,2,0,9,6,3,10,16,-6,,2026,最新節,20260425
1,ヴィッセル神戸,25,11,8,7,1,3,1,2,22,10,+12,,2026,最新節,20260425
2,ガンバ大阪,19,12,7,3,4,5,3,2,16,16,+0,,2026,最新節,20260425
3,名古屋グランパス,18,11,6,4,2,5,3,2,18,15,+3,,2026,最新節,20260425
4,清水エスパルス,17,11,5,3,2,6,2,4,13,10,+3,,2026,最新節,20260425
5,京都サンガF.C.,17,11,6,4,2,5,4,1,15,14,+1,,2026,最新節,20260425
6,セレッソ大阪,17,11,6,4,2,5,4,1,11,10,+1,,2026,最新節,20260425
7,サンフレッチェ広島,16,11,6,4,2,5,5,0,15,14,+1,,2026,最新節,20260425
8,アビスパ福岡,15,12,5,3,2,7,5,2,12,19,-7,,2026,最新節,20260425
9,ファジアーノ岡山,12,11,3,2,1,8,4,4,12,19,-7,,2026,最新節,20260425
10,Ｖ・ファーレン長崎,12,11,4,4,0,7,7,0,10,17,-7,,2026,最新節,20260425
