match_no,league,home_team,away_team,best_second,actual_symbol,actual_result,ticket01,ticket01_is_hit,ticket02,ticket02_is_hit,ticket03,ticket03_is_hit,ticket04,ticket04_is_hit,ticket05,ticket05_is_hit,ticket06,ticket06_is_hit,ticket07,ticket07_is_hit,ticket08,ticket08_is_hit,ticket09,ticket09_is_hit,ticket10,ticket10_is_hit
1,J1,水戸,東京Ｖ,best=0 second=2 third=1 (base=0) margin=0.140,2,A,0,False,2,True,1,False,0,False,0,False,1,False,2,True,0,False,2,True,2,True
2,J1,横浜FM,柏,best=0 second=2 third=1 (base=0) margin=0.051,2,A,0,False,0,False,0,False,2,True,0,False,0,False,0,False,0,False,0,False,0,False
3,J1,長崎,神戸,best=2 second=0 third=1 (base=2) margin=0.208,0,D,2,False,2,False,2,False,0,True,2,False,2,False,2,False,2,False,2,False,2,False
4,J1,千葉,鹿島,best=2 second=0 third=1 (base=2) margin=0.477,2,A,2,True,2,True,2,True,2,True,2,True,2,True,0,False,2,True,2,True,2,True
5,J1,京都,広島,best=0 second=2 third=1 (base=0) margin=0.058,2,A,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False
6,J1,浦和,FC東京,best=2 second=0 third=1 (base=2) margin=0.032,0,D,2,False,2,False,2,False,2,False,2,False,2,False,2,False,2,False,2,False,2,False
7,J1,岡山,清水,best=0 second=2 third=1 (base=0) margin=0.118,1,H,0,False,2,False,1,True,0,False,2,False,0,False,0,False,1,True,0,False,0,False
8,J1,Ｃ大阪,名古屋,best=0 second=2 third=1 (base=0) margin=0.063,1,H,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False
9,J1,川崎Ｆ,町田,best=2 second=0 third=1 (base=2) margin=0.017,0,D,2,False,2,False,2,False,2,False,0,True,2,False,2,False,1,False,0,True,2,False
10,UNKNOWN,HOME_10,AWAY_10,,,,1,False,1,False,1,False,1,False,1,False,1,False,1,False,1,False,1,False,1,False
11,J2,富山,徳島,best=2 second=0 third=1 (base=2) margin=0.016,0,D,2,False,2,False,2,False,2,False,2,False,2,False,2,False,2,False,2,False,2,False
12,J2,大分,宮崎,best=2 second=0 third=1 (base=2) margin=0.089,2,A,2,True,2,True,2,True,2,True,2,True,2,True,2,True,2,True,2,True,0,False
13,J2,磐田,藤枝,best=1 second=0 third=2 (base=1) margin=0.071,2,A,1,False,1,False,1,False,1,False,1,False,1,False,1,False,1,False,1,False,1,False
